pt1_cam1_X,pt1_cam1_Y
920.627530,383.471971
922.683588,381.415913
924.739646,379.359855
924.739646,379.359855
926.795704,379.359855
926.795704,379.359855
926.795704,375.247739
926.795704,375.247739
928.851762,371.135622
930.907821,371.135622
930.907821,367.023506
932.963879,360.855332
935.019937,358.799274
935.019937,358.799274
937.075995,354.687158
937.075995,352.631100
937.075995,352.631100
937.075995,350.575042
941.188111,344.406867
941.188111,342.350809
947.356285,338.238693
947.356285,336.182635
947.356285,332.070519
947.356285,330.014461
947.356285,325.902345
947.356285,319.734170
947.356285,317.678112
947.356285,313.565996
947.356285,311.509938
951.468401,309.453880
951.468401,303.285706
951.468401,299.173589
951.468401,297.117531
957.636576,286.837241
957.636576,286.837241
957.636576,286.837241
959.692634,280.669067
959.692634,278.613009
961.748692,278.613009
961.748692,278.613009
961.748692,274.500892
961.748692,268.332718
961.748692,266.276660
961.748692,264.220602
969.972924,264.220602
972.028982,264.220602
969.972924,258.052428
969.972924,258.052428
967.916866,251.884253
967.916866,247.772137
967.916866,247.772137
967.916866,247.772137
965.860808,243.660021
965.860808,243.660021
965.860808,243.660021
