pt1_cam1_X,pt1_cam1_Y
505.303797,268.332718
548.481017,239.547905
556.705249,214.875208
575.209772,184.034337
587.546120,169.641930
597.826411,149.081349
601.938527,144.969233
610.162759,138.801059
608.106701,136.745001
603.994585,138.801059
595.770352,140.857117
585.490062,153.193465
575.209772,163.473756
569.041597,179.922220
564.929481,202.538859
560.817365,214.875208
550.537075,237.491847
544.368900,260.108486
544.368900,284.781183
544.368900,307.397822
548.481017,321.790228
546.424958,330.014461
544.368900,340.294751
540.256784,344.406867
534.088610,344.406867
523.808319,340.294751
523.808319,330.014461
519.696203,323.846286
519.696203,313.565996
523.808319,295.061473
527.920436,270.388776
569.041597,243.660021
579.321888,214.875208
587.546120,192.258569
589.602178,181.978279
599.882469,153.193465
599.882469,151.137407
603.994585,136.745001
597.826411,132.632884
601.938527,126.464710
593.714294,132.632884
593.714294,142.913175
581.377946,144.969233
573.153714,155.249523
569.041597,167.585872
562.873423,186.090395
558.761307,210.763092
550.537075,216.931266
542.312842,237.491847
538.200726,270.388776
542.312842,290.949357
544.368900,313.565996
544.368900,319.734170
544.368900,334.126577
538.200726,338.238693
529.976494,348.518983
534.088610,338.238693
523.808319,334.126577
517.640145,325.902345
517.640145,315.622054
509.415913,309.453880
519.696203,282.725125
519.696203,264.220602
558.761307,239.547905
560.817365,210.763092
569.041597,196.370685
571.097655,188.146453
577.265830,171.697988
577.265830,165.529814
577.265830,161.417698
573.153714,159.361640
577.265830,159.361640
569.041597,171.697988
564.929481,177.866162
560.817365,186.090395
566.985539,208.707034
538.200726,208.707034
540.256784,229.267614
542.312842,260.108486
544.368900,284.781183
544.368900,303.285706
544.368900,319.734170
544.368900,334.126577
544.368900,346.462925
536.144668,342.350809
